Artist,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Url_youtube,Title
Daft Punk,0.81,0.793,6,-9.404,0.0403,0.0378,1.77E-06,0.072,0.863,116.05,369627,https://www.youtube.com/watch?v=CCHdMIEGaaM,Daft Punk - Get Lucky (Official Video) feat. Pharrell Williams and Nile Rodgers
Daft Punk,0.956,0.795,7,-5.311,0.15,0.00356,0.889,0.0906,0.841,121.294,429533,https://www.youtube.com/watch?v=K0HSD_i2DvA,Daft Punk - Around The World (Official Music Video Remastered)
Daft Punk,0.817,0.716,6,-8.898,0.144,0.0427,0.00263,0.358,0.692,123.474,224693,https://www.youtube.com/watch?v=gAjR4_CbPpQ,"Daft Punk - Harder, Better, Faster, Stronger (Official Video)"
Daft Punk,0.875,0.475,9,-12.673,0.0986,0.44,0.72,0.046,0.384,99.958,232667,https://www.youtube.com/watch?v=sOS9aOIXPEk,Daft Punk - Something About Us (Official Video)
Daft Punk,0.832,0.659,10,-7.828,0.057,0.0839,0.00114,0.0753,0.674,100.163,353893,https://www.youtube.com/watch?v=NF-kLy44Hls,Daft Punk - Lose Yourself to Dance (Official Version)
Daft Punk,0.605,0.687,9,-13.928,0.045,0.479,0.949,0.104,0.12,106.896,345187,https://www.youtube.com/watch?v=HhZaHf8RP6g,Daft Punk - Veridis Quo (Official Video)
Daft Punk,0.644,0.664,9,-8.398,0.0332,0.048,0.867,0.342,0.53,124.726,301373,https://www.youtube.com/watch?v=FxzBvqY5PP0,Daft Punk - Digital Love (Official Video)
Linkin Park,0.556,0.864,3,-5.87,0.0584,0.00958,0,0.209,0.4,105.143,216880,https://www.youtube.com/watch?v=eVTXPUF4Oz4,In The End [Official HD Music Video] - Linkin Park
Linkin Park,0.496,0.863,9,-4.153,0.0381,0.0046,0,0.639,0.243,110.018,185587,https://www.youtube.com/watch?v=kXYiU_JCYtU,Numb [Official Music Video] - Linkin Park
Linkin Park,0.623,0.93,5,-5.285,0.0324,0.0141,1.64E-06,0.138,0.287,120.119,205613,https://www.youtube.com/watch?v=8sgycukafqQ,What I've Done [Official Music Video] - Linkin Park
Linkin Park,0.687,0.793,2,-4.254,0.166,0.0603,0,0.582,0.751,107.045,205733,https://www.youtube.com/watch?v=DLlF2FMv968,Numb/Encore [Live] - Linkin Park & Jay Z
Linkin Park,0.492,0.969,9,-4.419,0.0491,0.0014,1.32E-06,0.0787,0.538,95.136,157333,https://www.youtube.com/watch?v=4qlCC1GOwFw,One Step Closer [Official HD Music Video] - Linkin Park
Linkin Park,0.554,0.978,4,-3.554,0.131,0.111,0,0.0731,0.594,135.095,162600,https://www.youtube.com/watch?v=LYU-8IFcDPw,Faint [Official Music Video] - Linkin Park
Linkin Park,0.529,0.967,1,-3.647,0.0508,0.114,0,0.61,0.596,140.127,166373,https://www.youtube.com/watch?v=OnuuYcqhzCE,Bleed It Out [Official Music Video] - Linkin Park
Linkin Park,0.524,0.939,9,-3.994,0.113,0.00022,0,0.623,0.661,150.184,184867,https://www.youtube.com/watch?v=vjVkXlxsO8Q,Papercut [Official HD Music Video] - Linkin Park
Linkin Park,0.58,0.702,4,-5.565,0.0337,0.0466,3.20E-06,0.536,0.299,105.076,208960,https://www.youtube.com/watch?v=Gd9OhYroLN0,Crawling [Official HD Music Video] - Linkin Park
